component_importance,attention_weights
4.6182197e-10,0.02048418
2.525465e-09,0.07824828
1.7496823e-09,0.14298569
1.5508045e-09,0.029422997
1.1543354e-09,0.01942138
8.245295e-10,0.4046884
5.09849e-09,0.0523823
0.14285691,0.021541325
0.14288604,0.007200375
2.4844567e-12,0.0190562
6.863341e-09,0.028531501
1.05336175e-08,0.029411385
3.0392238e-09,0.046185933
1.9574027e-09,0.0075599654
0.71425706,0.01467205
1.7721505e-09,0.0782081
